datum,avkastning
2022-01-04,0.09947280239304135
2022-01-05,-0.418452339203057
2022-01-07,0.09979044835688455
2022-01-10,1.03195994192804
2022-01-11,0.9823261702943675
2022-01-12,0.7013471179858399
2022-01-13,-0.4085211400770561
2022-01-14,-0.1560671405344216
2022-01-17,-0.23455835617207654
2022-01-18,1.7459221371768585
2022-01-19,-0.40466381456267797
2022-01-20,1.1709510891195762
2022-01-21,-1.849051139763258
2022-01-24,-2.479953899108711
2022-01-25,7.355267366652285
2022-01-26,2.3241964854615382
2022-01-27,3.0464634387493916
2022-01-28,-0.845820020515653
2022-01-31,1.5626689683768902
2022-02-01,0.06966214144474847
2022-02-02,-0.6988148633928049
2022-02-03,0.6465728073504984
2022-02-04,-0.9274718684560312
2022-02-07,1.4833183577857234
2022-02-08,0.0
2022-02-09,0.4838440405130484
2022-02-10,0.49866838784735634
2022-02-11,0.15425489389997438
2022-02-14,-1.414304360772789
2022-02-15,0.5715785891231562
2022-02-16,-15.563422072027766
2022-02-17,-0.9122301248934761
2022-02-18,-4.243123761055401
2022-02-21,-0.1914079699654181
2022-02-22,0.05320564105293357
2022-02-23,-1.0695289116747553
2022-02-24,-0.4958509674402478
2022-02-25,2.865403472710071
2022-02-28,-8.009521351482274
2022-03-01,-3.1315748636382423
2022-03-02,-10.211813533417047
2022-03-03,2.135129340973485
2022-03-04,2.4139970294204005
2022-03-07,-3.3601746546768396
2022-03-08,1.2130647379847481
2022-03-09,3.3571506101008453
2022-03-10,-0.2703700799024489
2022-03-11,1.1501411502553793
2022-03-14,1.832259551566473
2022-03-15,-0.6951963753308199
2022-03-16,0.7907073663545816
2022-03-17,0.6778880689498834
2022-03-18,1.1782862844679443
2022-03-21,1.106656992766375
2022-03-22,-0.3016593539425294
2022-03-23,-0.7932846080637823
2022-03-24,1.2338650308869603
2022-03-25,0.05782686797353165
2022-03-28,0.8634141015007479
2022-03-29,-1.5828416649035226
2022-03-30,1.9261307078356715
2022-03-31,-1.4266233673367879
2022-04-01,3.125610887790753
2022-04-04,0.7719454342677068
2022-04-05,1.284482282071231
2022-04-06,-1.1508370901110787
2022-04-07,0.665559861173648
2022-04-08,1.8728985106276852
2022-04-11,-2.5829869264723193
2022-04-12,-0.43519568770236106
2022-04-13,-0.9438272310782203
2022-04-14,-5.16617476605532
2022-04-19,-2.57690357583078
2022-04-20,0.8865198627623805
2022-04-21,-0.8255479689156964
2022-04-22,-0.01219140507453531
2022-04-25,-0.6973784915858872
2022-04-26,0.24524843684199382
2022-04-27,-1.2075060467591214
2022-04-28,-2.142536382365634
2022-04-29,0.4927051847191777
2022-05-02,-0.1387225142067905
2022-05-03,2.2214815944193944
2022-05-04,-0.1111454266933265
2022-05-05,-1.7198828723815396
2022-05-06,-3.245047123263678
2022-05-09,-1.0705063066239973
2022-05-10,0.7453450654580251
2022-05-11,-0.05212405643160167
2022-05-12,-0.9692282815703557
2022-05-13,2.032378448330352
2022-05-16,1.7894137991918413
2022-05-17,1.1587031400374315
2022-05-18,-1.2347391340695957
2022-05-19,-1.5973759876790616
2022-05-20,-0.01288244768291591
2022-05-23,1.3563867580098865
2022-05-24,-1.1890442461515605
2022-05-25,-0.05146018381925188
2022-05-27,4.639132378734434
2022-05-30,-0.15983282433813528
2022-05-31,-2.592691654279289
2022-06-01,0.7798781665596444
2022-06-02,0.9105145535390768
2022-06-03,0.3470504227019333
2022-06-07,0.7396483424505718
2022-06-08,-0.02456700663380218
2022-06-09,-0.09832842483490367
2022-06-10,-6.267110696277545
2022-06-13,-0.8282437407891585
2022-06-14,-0.6622540760493401
2022-06-15,1.8172741353327027
2022-06-16,-1.9635604836489406
2022-06-17,0.7953382327825942
2022-06-20,1.8056227828640914
2022-06-21,0.9549691880019751
2022-06-22,0.7039128060521094
2022-06-23,-0.28097081064082374
2022-06-27,3.789663015789646
2022-06-28,-1.3887389958727958
2022-06-29,-1.6111109970032622
2022-06-30,-3.276021618941094
2022-07-01,0.24880520921195526
2022-07-04,2.3013297458295057
2022-07-05,-1.8967086886754636
2022-07-06,1.794406889472011
2022-07-07,2.7634084448993512
2022-07-08,0.02488800411057923
2022-07-11,-2.0997816801269664
2022-07-12,-0.1271455988196557
2022-07-13,0.70994212992046
2022-07-14,-8.829843761317502
2022-07-15,1.3704476510995711
2022-07-18,2.061095390412415
2022-07-19,-1.7892452841588025
2022-07-20,1.775911061857549
2022-07-21,1.390474630693106
2022-07-22,-0.39530951465795994
2022-07-25,-0.7155191517854931
2022-07-26,0.3053842909745086
2022-07-27,0.7396678816154356
2022-07-28,-0.2503460033367766
2022-07-29,1.4017390712714572
2022-08-01,0.5448897757739601
2022-08-02,-0.14242250093072784
2022-08-03,-0.16857943433477018
2022-08-04,1.25106423123853
2022-08-05,0.025631167640050023
2022-08-08,-0.8751664609872201
2022-08-09,-0.6094022100949559
2022-08-10,1.5742260578116785
2022-08-11,0.2557219140640221
2022-08-12,-0.5377733830989051
2022-08-15,0.10265623896517084
2022-08-16,2.1945448474660623
2022-08-17,-1.6190588931983996
2022-08-18,3.1011210165676317
2022-08-19,-0.06183144944413854
2022-08-22,-2.365715183376871
2022-08-23,-0.8267137704893734
2022-08-24,-0.358239891824752
2022-08-25,0.5113792785675031
2022-08-26,-1.0125046446596286
2022-08-29,-1.2834816754984324
2022-08-30,1.8870923183035515
2022-08-31,2.3786546573032474
2022-09-01,-2.481139934016241
2022-09-02,1.6399020016717891
2022-09-05,-2.5540910762845037
2022-09-06,1.349027974395689
2022-09-07,-1.1939290677707604
2022-09-08,1.117330059812538
